,,dishwasher,washing machine,toilet,sink,shower,garden
,,0.008,0.005,0.022,0.743,0.111,0.111
standard,0,0.032,0.008,0.023,0.015,0.017,0.004
standard,1,0.017,0.006,0.016,0.006,0.006,0.004
standard,2,0.009,0.005,0.01,0.005,0.005,0.004
standard,3,0.004,0.005,0.01,0.005,0.005,0.004
standard,4,0.004,0.004,0.014,0.004,0.006,0.004
standard,5,0.004,0.008,0.016,0.008,0.011,0.004
standard,6,0.009,0.015,0.033,0.021,0.05,0.025
standard,7,0.022,0.039,0.072,0.061,0.099,0.05
standard,8,0.043,0.066,0.068,0.065,0.097,0.065
standard,9,0.065,0.104,0.06,0.063,0.069,0.056
standard,10,0.069,0.104,0.052,0.061,0.06,0.052
standard,11,0.052,0.089,0.049,0.052,0.041,0.05
standard,12,0.035,0.073,0.041,0.05,0.035,0.048
standard,13,0.039,0.064,0.039,0.05,0.028,0.044
standard,14,0.048,0.062,0.041,0.042,0.022,0.042
standard,15,0.039,0.052,0.041,0.046,0.028,0.05
standard,16,0.026,0.048,0.047,0.052,0.032,0.052
standard,17,0.035,0.05,0.052,0.059,0.041,0.092
standard,18,0.054,0.05,0.06,0.069,0.06,0.115
standard,19,0.086,0.041,0.058,0.073,0.076,0.104
standard,20,0.091,0.039,0.056,0.063,0.065,0.062
standard,21,0.086,0.037,0.052,0.052,0.063,0.043
standard,22,0.071,0.021,0.049,0.042,0.052,0.022
standard,23,0.06,0.01,0.041,0.036,0.032,0.004
conscious,0,0.06,0.008,0.023,0.015,0.017,0.08
conscious,1,0.035,0.006,0.016,0.006,0.006,0.08
conscious,2,0.03,0.004,0.01,0.005,0.004,0.08
conscious,3,0.015,0.004,0.01,0.005,0.004,0.08
conscious,4,0.01,0.004,0.013,0.004,0.006,0.08
conscious,5,0.01,0.008,0.016,0.008,0.025,0.037
conscious,6,0.01,0.015,0.033,0.021,0.05,0.026
conscious,7,0.022,0.039,0.072,0.061,0.07,0.026
conscious,8,0.043,0.066,0.068,0.065,0.07,0.026
conscious,9,0.045,0.07,0.06,0.063,0.069,0.026
conscious,10,0.045,0.075,0.052,0.061,0.06,0.026
conscious,11,0.052,0.08,0.049,0.052,0.06,0.013
conscious,12,0.052,0.08,0.041,0.05,0.035,0.013
conscious,13,0.052,0.08,0.039,0.05,0.035,0.013
conscious,14,0.048,0.08,0.041,0.042,0.025,0.013
conscious,15,0.039,0.08,0.041,0.046,0.028,0.013
conscious,16,0.035,0.05,0.048,0.052,0.035,0.013
conscious,17,0.04,0.05,0.052,0.059,0.05,0.013
conscious,18,0.054,0.05,0.06,0.069,0.06,0.013
conscious,19,0.054,0.044,0.058,0.073,0.065,0.013
conscious,20,0.054,0.039,0.056,0.063,0.065,0.079
conscious,21,0.065,0.037,0.052,0.052,0.063,0.079
conscious,22,0.065,0.021,0.049,0.042,0.065,0.079
conscious,23,0.065,0.01,0.041,0.036,0.033,0.079
morning,0,,,,,,0.03
morning,1,,,,,,0.03
morning,2,,,,,,0.09
morning,3,,,,,,0.09
morning,4,,,,,,0.09
morning,5,,,,,,0.09
morning,6,,,,,,0.09
morning,7,,,,,,0.09
morning,8,,,,,,0.09
morning,9,,,,,,0.09
morning,10,,,,,,0.026
morning,11,,,,,,0.014
morning,12,,,,,,0.014
morning,13,,,,,,0.014
morning,14,,,,,,0.014
morning,15,,,,,,0.014
morning,16,,,,,,0.014
morning,17,,,,,,0.014
morning,18,,,,,,0.014
morning,19,,,,,,0.013
morning,20,,,,,,0.013
morning,21,,,,,,0.013
morning,22,,,,,,0.013
morning,23,,,,,,0.03
evening,0,,,,,,0.1
evening,1,,,,,,0.1
evening,2,,,,,,0.03
evening,3,,,,,,0.03
evening,4,,,,,,0.03
evening,5,,,,,,0.013
evening,6,,,,,,0.013
evening,7,,,,,,0.013
evening,8,,,,,,0.013
evening,9,,,,,,0.013
evening,10,,,,,,0.013
evening,11,,,,,,0.013
evening,12,,,,,,0.019
evening,13,,,,,,0.02
evening,14,,,,,,0.03
evening,15,,,,,,0.03
evening,16,,,,,,0.03
evening,17,,,,,,0.03
evening,18,,,,,,0.03
evening,19,,,,,,0.03
evening,20,,,,,,0.1
evening,21,,,,,,0.1
evening,22,,,,,,0.1
evening,23,,,,,,0.1
